wavelength_nm,PD1
1545.0,537.0
1545.01,524.0
1545.02,569.0
1545.03,753.0
1545.04,840.0
1545.05,971.0
1545.06,1166.0
1545.07,1991.0
1545.08,2186.0
1545.09,2664.0
1545.1,3368.0
1545.11,3470.0
1545.12,2531.0
1545.1299999999999,1998.0
1545.1399999999999,1110.0
1545.1499999999999,803.0
1545.1599999999999,526.0
1545.1699999999998,432.0
1545.1799999999998,321.0
1545.1899999999998,223.0
1545.1999999999998,176.0
1545.2099999999998,137.0
1545.2199999999998,124.0
1545.2299999999998,103.0
1545.2399999999998,97.0
1545.2499999999998,80.0
1545.2599999999998,75.0
1545.2699999999998,65.0
1545.2799999999997,58.0
1545.2899999999997,52.0
1545.2999999999997,47.0
1545.3099999999997,41.0
1545.3199999999997,39.0
1545.3299999999997,37.0
1545.3399999999997,40.0
1545.3499999999997,31.0
1545.3599999999997,27.0
1545.3699999999997,31.0
1545.3799999999997,27.0
1545.3899999999996,27.0
1545.3999999999996,21.0
1545.4099999999996,30.0
1545.4199999999996,26.0
1545.4299999999996,27.0
1545.4399999999996,21.0
1545.4499999999996,23.0
1545.4599999999996,21.0
1545.4699999999996,25.0
1545.4799999999996,26.0
1545.4899999999996,22.0
1545.4999999999995,25.0
1545.5099999999995,23.0
1545.5199999999995,21.0
1545.5299999999995,25.0
1545.5399999999995,26.0
1545.5499999999995,25.0
1545.5599999999995,25.0
1545.5699999999995,25.0
1545.5799999999995,23.0
1545.5899999999995,24.0
1545.5999999999995,21.0
1545.6099999999994,27.0
1545.6199999999994,24.0
1545.6299999999994,25.0
1545.6399999999994,29.0
1545.6499999999994,24.0
1545.6599999999994,26.0
1545.6699999999994,28.0
1545.6799999999994,26.0
1545.6899999999994,29.0
1545.6999999999994,30.0
1545.7099999999994,32.0
1545.7199999999993,30.0
1545.7299999999993,29.0
1545.7399999999993,34.0
1545.7499999999993,27.0
1545.7599999999993,36.0
1545.7699999999993,35.0
1545.7799999999993,39.0
1545.7899999999993,43.0
1545.7999999999993,45.0
1545.8099999999993,44.0
1545.8199999999993,61.0
1545.8299999999992,51.0
1545.8399999999992,56.0
1545.8499999999992,61.0
1545.8599999999992,54.0
1545.8699999999992,64.0
1545.8799999999992,62.0
1545.8899999999992,66.0
1545.8999999999992,74.0
1545.9099999999992,78.0
1545.9199999999992,81.0
1545.9299999999992,93.0
1545.9399999999991,96.0
1545.9499999999991,70.0
1545.9599999999991,49.0
1545.9699999999991,41.0
1545.979999999999,36.0
1545.989999999999,30.0
1545.999999999999,27.0
1546.009999999999,33.0
1546.019999999999,34.0
1546.029999999999,21.0
1546.039999999999,32.0
1546.049999999999,29.0
1546.059999999999,33.0
1546.069999999999,28.0
1546.079999999999,31.0
1546.089999999999,31.0
1546.099999999999,36.0
1546.109999999999,27.0
1546.119999999999,32.0
1546.129999999999,29.0
1546.139999999999,23.0
